persona_idno,documento_idno,rol_evento
mx-sv-per-008271,mx-sv-doc-002968,comprador
mx-sv-per-008572,mx-sv-doc-003114,Dueño Difunto
mx-sv-per-008573,mx-sv-doc-003114,Albacea
mx-sv-per-008574,mx-sv-doc-003114,comprador
mx-sv-per-008711,mx-sv-doc-003202,otorgante
mx-sv-per-008712,mx-sv-doc-003202,comprador
mx-sv-per-007971,mx-sv-doc-003202,dueño anterior
mx-sv-per-000224,mx-sv-doc-000052,otorgante
mx-sv-per-000677,mx-sv-doc-000052,comprador
mx-sv-per-000678,mx-sv-doc-000052,otorgante
mx-sv-per-008273,mx-sv-doc-002969,Vendedor
mx-sv-per-002927,mx-sv-doc-002969,comprador
mx-sv-per-008572,mx-sv-doc-003115,Dueño Difunto
mx-sv-per-008573,mx-sv-doc-003115,Albacea
mx-sv-per-008576,mx-sv-doc-003115,comprador
mx-sv-per-003538,mx-sv-doc-001202,Vendedor
mx-sv-per-003245,mx-sv-doc-001202,intermediario
mx-sv-per-003270,mx-sv-doc-001202,comprador
mx-sv-per-007067,mx-sv-doc-002970,Vendedor
mx-sv-per-002927,mx-sv-doc-002970,comprador
mx-sv-per-008578,mx-sv-doc-003116,Vendedor
mx-sv-per-007512,mx-sv-doc-003116,comprador
mx-sv-per-008715,mx-sv-doc-003204,otorgante
mx-sv-per-008716,mx-sv-doc-003204,comprador
mx-sv-per-007971,mx-sv-doc-003204,dueño anterior
mx-sv-per-008275,mx-sv-doc-002971,Vendedor
mx-sv-per-007580,mx-sv-doc-002971,intermediario
mx-sv-per-002918,mx-sv-doc-002971,intermediario
mx-sv-per-008276,mx-sv-doc-002971,comprador
mx-sv-per-008561,mx-sv-doc-003117,Vendedor
mx-sv-per-008580,mx-sv-doc-003117,comprador
mx-sv-per-000721,mx-sv-doc-000191,Vendedor
mx-sv-per-000722,mx-sv-doc-000191,comprador
mx-sv-per-008278,mx-sv-doc-002972,Vendedor
mx-sv-per-008279,mx-sv-doc-002972,Vendedor
mx-sv-per-003454,mx-sv-doc-002972,Tutor
mx-sv-per-008280,mx-sv-doc-002972,comprador
mx-sv-per-007563,mx-sv-doc-002973,Vendedor
mx-sv-per-008282,mx-sv-doc-002973,comprador
mx-sv-per-000405,mx-sv-doc-000099,otorgante
mx-sv-per-000406,mx-sv-doc-000099,Receptor Del Poder
mx-sv-per-000407,mx-sv-doc-000099,dueño anterior
mx-sv-per-000405,mx-sv-doc-000099,dueño del esclavizado
mx-sv-per-000409,mx-sv-doc-000099,dueño del esclavizado
mx-sv-per-004693,mx-sv-doc-000100,comprador
mx-sv-per-004695,mx-sv-doc-000100,Antiguo Propietario
mx-sv-per-004694,mx-sv-doc-000100,Antiguo Propietario (Difunto)
mx-sv-per-004692,mx-sv-doc-000100,Vendedor Y Propietario
mx-sv-per-008154,mx-sv-doc-002974,Vendedor
mx-sv-per-007428,mx-sv-doc-002974,comprador
